,Class,ImageId,Probability,Xmax,Xmin,Ymax,Ymin
0,train,COCO_val2014_000000003342.jpg,99.1628885269165,668.0,15.0,349.0,75.0
1,train,COCO_val2014_000000003342.jpg,93.77934336662292,592.0,334.0,349.0,60.0
2,train,COCO_val2014_000000003342.jpg,92.94936656951904,410.0,15.0,334.0,121.0
3,train,COCO_val2014_000000010793.jpg,95.9194540977478,574.0,98.0,377.0,147.0
4,train,COCO_val2014_000000010793.jpg,94.11725401878357,722.0,65.0,410.0,65.0
5,train,COCO_val2014_000000011260.jpg,97.48552441596985,508.0,313.0,293.0,156.0
6,train,COCO_val2014_000000011269.jpg,97.98508286476135,689.0,246.0,295.0,73.0
7,train,COCO_val2014_000000011703.jpg,90.16525149345398,701.0,36.0,479.0,36.0
8,train,COCO_val2014_000000018295.jpg,97.88973331451416,476.0,164.0,295.0,114.0
9,train,COCO_val2014_000000020381.jpg,98.92733693122864,604.0,98.0,343.0,163.0
10,train,COCO_val2014_000000026393.jpg,97.5083589553833,562.0,108.0,381.0,90.0
11,train,COCO_val2014_000000026802.jpg,95.11083364486694,295.0,197.0,279.0,114.0
12,train,COCO_val2014_000000026802.jpg,94.21612620353699,377.0,180.0,279.0,114.0
13,train,COCO_val2014_000000027874.jpg,96.29644751548767,609.0,18.0,276.0,92.0
14,train,COCO_val2014_000000027897.jpg,97.92742133140564,509.0,32.0,410.0,-33.0
15,train,COCO_val2014_000000027897.jpg,92.91099905967712,624.0,213.0,229.0,32.0
16,train,COCO_val2014_000000027897.jpg,84.92257595062256,558.0,197.0,344.0,-17.0
17,train,COCO_val2014_000000028115.jpg,94.28975582122803,376.0,98.0,327.0,98.0
18,train,COCO_val2014_000000028246.jpg,99.04417991638184,636.0,164.0,472.0,205.0
19,train,COCO_val2014_000000034950.jpg,99.57122802734375,609.0,55.0,424.0,184.0
20,train,COCO_val2014_000000034950.jpg,79.25958633422852,424.0,73.0,369.0,184.0
21,train,COCO_val2014_000000036768.jpg,85.27116775512695,558.0,0.0,262.0,65.0
22,train,COCO_val2014_000000043286.jpg,88.01928758621216,424.0,276.0,313.0,166.0
23,train,COCO_val2014_000000044075.jpg,93.84859800338745,540.0,98.0,311.0,81.0
