,ImageID,predict_bbox,gt_bbox,IoU_threshold,T,P,IoU,ap,mAP
0,Y2BB_extracted_dataset/train_for_test_medium/15+-6-4soyVvC4+01+0039000+1.jpg,[],"[{'class': 'train', 'x1': 213.6, 'x2': 281.76000000000005, 'y1': 132.6000024, 'y2': 194.4, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0,[1.0],1.0
1,Y2BB_extracted_dataset/train_for_test_medium/15+-hj2q9utBhs+02+0036000+1.jpg,"[{'x1': 16, 'x2': 560, 'y1': 112, 'y2': 320, 'class': 'train', 'prob': 0.64836884}]","[{'class': 'train', 'x1': 175.67999999999998, 'x2': 310.71999999999997, 'y1': 126.39999359999999, 'y2': 153.6, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0.09741168958619797,[0.6666666666666666],0.6666666666666666
2,Y2BB_extracted_dataset/train_for_test_medium/15+-yMI3k70zIU+00+0019000+1.jpg,"[{'x1': 96, 'x2': 592, 'y1': 32, 'y2': 224, 'class': 'train', 'prob': 0.8220147}, {'x1': 224, 'x2': 528, 'y1': 0, 'y2': 272, 'class': 'train', 'prob': 0.6257812}]","[{'class': 'train', 'x1': 269.76000000000005, 'x2': 341.76000000000005, 'y1': 93.60000000000001, 'y2': 142.8000048, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0.10674717139553472,[0.5],0.5
3,Y2BB_extracted_dataset/train_for_test_medium/15+0DwhUrmEAws+00+0076000+1.jpg,[],"[{'class': 'train', 'x1': 276.48, 'x2': 317.76, 'y1': 168.5999988, 'y2': 198.00000000000003, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0,[0.5714285714285714],0.5714285714285714
4,Y2BB_extracted_dataset/train_for_test_medium/15+16XQgOKblqs+01+0143000+1.jpg,[],"[{'class': 'train', 'x1': 190.72, 'x2': 315.2, 'y1': 86.39999999999999, 'y2': 146.000004, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0,[0.625],0.625
5,Y2BB_extracted_dataset/train_for_test_medium/15+1_xfocbatMQ+01+0029000+1.jpg,[],"[{'class': 'train', 'x1': 253.44, 'x2': 319.67999999999995, 'y1': 100.80000000000001, 'y2': 146.4000012, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0,[0.6666666666666666],0.6666666666666666
6,Y2BB_extracted_dataset/train_for_test_medium/15+1e8KB4IqkpA+05+0335000+1.jpg,[],"[{'class': 'train', 'x1': 118.08000000000001, 'x2': 193.92, 'y1': 203.39999999999998, 'y2': 313.8000012, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0,[0.7],0.7
7,Y2BB_extracted_dataset/train_for_test_medium/15+1n_jnfJVPzs+00+0012000+1.jpg,[],"[{'class': 'train', 'x1': 166.4, 'x2': 258.56, 'y1': 137.59999200000001, 'y2': 208.8, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0,[0.7272727272727273],0.7272727272727273
8,Y2BB_extracted_dataset/train_for_test_medium/15+1n_jnfJVPzs+00+0013000+1.jpg,[],"[{'class': 'train', 'x1': 143.35999999999999, 'x2': 239.68000000000004, 'y1': 138.799992, 'y2': 210.4000008, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0,[0.75],0.75
9,Y2BB_extracted_dataset/train_for_test_medium/15+1tIKB6FZ5bY+00+0059000+1.jpg,[],"[{'class': 'train', 'x1': 202.56000000000003, 'x2': 255.83999999999997, 'y1': 120.00000239999999, 'y2': 198.600012, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0,[0.7692307692307693],0.7692307692307693
10,Y2BB_extracted_dataset/train_for_test_medium/15+235NI9CNNYs+00+0020000+1.jpg,"[{'x1': -16, 'x2': 608, 'y1': 32, 'y2': 192, 'class': 'train', 'prob': 0.50430906}]","[{'class': 'train', 'x1': 14.399999999999999, 'x2': 122.24000000000001, 'y1': 69.1999992, 'y2': 109.6000032, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0.13094791574160514,[0.7333333333333333],0.7333333333333333
11,Y2BB_extracted_dataset/train_for_test_medium/15+235NI9CNNYs+00+0024000+1.jpg,[],"[{'class': 'train', 'x1': 16.32, 'x2': 120.0, 'y1': 68.39999999999999, 'y2': 111.60000000000001, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0,[0.75],0.75
12,Y2BB_extracted_dataset/train_for_test_medium/15+235NI9CNNYs+00+0030000+1.jpg,"[{'x1': 0, 'x2': 448, 'y1': 32, 'y2': 208, 'class': 'train', 'prob': 0.63447595}]","[{'class': 'train', 'x1': 34.88, 'x2': 128.32, 'y1': 80.4, 'y2': 128.800008, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0.13655151903450402,[0.7222222222222222],0.7222222222222222
13,Y2BB_extracted_dataset/train_for_test_medium/15+28DJ1IafNdA+03+0364000+1.jpg,"[{'x1': 224, 'x2': 560, 'y1': 144, 'y2': 288, 'class': 'train', 'prob': 0.502129}]","[{'class': 'train', 'x1': 254.88000000000002, 'x2': 308.16, 'y1': 167.4, 'y2': 216.600012, 'bbox_matched': False}]",0.5,"{'train': [1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}","{'train': [0, 0.64836884, 0, 0.8220147, 0.6257812, 0, 0, 0, 0, 0, 0, 0, 0, 0.50430906, 0, 0, 0.63447595, 0, 0.502129, 0, 0.782191, 0.70001656, 0, 0.63536996, 0, 0]}",0.07225817899810967,[0.7],0.7
