,ImageID,predict_bbox,gt_bbox,IoU_threshold,T,P,IoU,ap,mAP
0,Y2BB_extracted_dataset/train_for_test_medium/15+-6-4soyVvC4+01+0039000+1.jpg,[],"[{'class': 'train', 'x1': 213.6, 'x2': 281.76000000000005, 'y1': 132.6000024, 'y2': 194.4, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]}","{'train': [0, 0, 0.96652204, 0.8452477, 0.78792095, 0, 0, 0, 0, 0, 0.68005824, 0, 0.8697029, 0, 0.85379493, 0, 0, 0, 0.8220701, 0, 0.9790379, 0.9156864, 0.88048744, 0.7102306, 0.6784745, 0.6232424, 0.6030737, 0, 0.8054901, 0.76437163, 0.6142716, 0, 0.512459, 0]}",0,[1.0],1.0
1,Y2BB_extracted_dataset/train_for_test_medium/15+-hj2q9utBhs+02+0036000+1.jpg,[],"[{'class': 'train', 'x1': 175.67999999999998, 'x2': 310.71999999999997, 'y1': 126.39999359999999, 'y2': 153.6, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]}","{'train': [0, 0, 0.96652204, 0.8452477, 0.78792095, 0, 0, 0, 0, 0, 0.68005824, 0, 0.8697029, 0, 0.85379493, 0, 0, 0, 0.8220701, 0, 0.9790379, 0.9156864, 0.88048744, 0.7102306, 0.6784745, 0.6232424, 0.6030737, 0, 0.8054901, 0.76437163, 0.6142716, 0, 0.512459, 0]}",0,[1.0],1.0
2,Y2BB_extracted_dataset/train_for_test_medium/15+-yMI3k70zIU+00+0019000+1.jpg,"[{'x1': -16, 'x2': 480, 'y1': 16, 'y2': 240, 'class': 'train', 'prob': 0.96652204}, {'x1': 16, 'x2': 496, 'y1': 48, 'y2': 224, 'class': 'train', 'prob': 0.8452477}, {'x1': 144, 'x2': 464, 'y1': 16, 'y2': 240, 'class': 'train', 'prob': 0.78792095}]","[{'class': 'train', 'x1': 269.76000000000005, 'x2': 341.76000000000005, 'y1': 93.60000000000001, 'y2': 142.8000048, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]}","{'train': [0, 0, 0.96652204, 0.8452477, 0.78792095, 0, 0, 0, 0, 0, 0.68005824, 0, 0.8697029, 0, 0.85379493, 0, 0, 0, 0.8220701, 0, 0.9790379, 0.9156864, 0.88048744, 0.7102306, 0.6784745, 0.6232424, 0.6030737, 0, 0.8054901, 0.76437163, 0.6142716, 0, 0.512459, 0]}",0.16435912745256537,[0.5],0.5
3,Y2BB_extracted_dataset/train_for_test_medium/15+0DwhUrmEAws+00+0076000+1.jpg,[],"[{'class': 'train', 'x1': 276.48, 'x2': 317.76, 'y1': 168.5999988, 'y2': 198.00000000000003, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]}","{'train': [0, 0, 0.96652204, 0.8452477, 0.78792095, 0, 0, 0, 0, 0, 0.68005824, 0, 0.8697029, 0, 0.85379493, 0, 0, 0, 0.8220701, 0, 0.9790379, 0.9156864, 0.88048744, 0.7102306, 0.6784745, 0.6232424, 0.6030737, 0, 0.8054901, 0.76437163, 0.6142716, 0, 0.512459, 0]}",0,[0.5714285714285714],0.5714285714285714
4,Y2BB_extracted_dataset/train_for_test_medium/15+16XQgOKblqs+01+0143000+1.jpg,[],"[{'class': 'train', 'x1': 190.72, 'x2': 315.2, 'y1': 86.39999999999999, 'y2': 146.000004, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]}","{'train': [0, 0, 0.96652204, 0.8452477, 0.78792095, 0, 0, 0, 0, 0, 0.68005824, 0, 0.8697029, 0, 0.85379493, 0, 0, 0, 0.8220701, 0, 0.9790379, 0.9156864, 0.88048744, 0.7102306, 0.6784745, 0.6232424, 0.6030737, 0, 0.8054901, 0.76437163, 0.6142716, 0, 0.512459, 0]}",0,[0.625],0.625
5,Y2BB_extracted_dataset/train_for_test_medium/15+1_xfocbatMQ+01+0029000+1.jpg,[],"[{'class': 'train', 'x1': 253.44, 'x2': 319.67999999999995, 'y1': 100.80000000000001, 'y2': 146.4000012, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]}","{'train': [0, 0, 0.96652204, 0.8452477, 0.78792095, 0, 0, 0, 0, 0, 0.68005824, 0, 0.8697029, 0, 0.85379493, 0, 0, 0, 0.8220701, 0, 0.9790379, 0.9156864, 0.88048744, 0.7102306, 0.6784745, 0.6232424, 0.6030737, 0, 0.8054901, 0.76437163, 0.6142716, 0, 0.512459, 0]}",0,[0.6666666666666666],0.6666666666666666
6,Y2BB_extracted_dataset/train_for_test_medium/15+1e8KB4IqkpA+05+0335000+1.jpg,[],"[{'class': 'train', 'x1': 118.08000000000001, 'x2': 193.92, 'y1': 203.39999999999998, 'y2': 313.8000012, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]}","{'train': [0, 0, 0.96652204, 0.8452477, 0.78792095, 0, 0, 0, 0, 0, 0.68005824, 0, 0.8697029, 0, 0.85379493, 0, 0, 0, 0.8220701, 0, 0.9790379, 0.9156864, 0.88048744, 0.7102306, 0.6784745, 0.6232424, 0.6030737, 0, 0.8054901, 0.76437163, 0.6142716, 0, 0.512459, 0]}",0,[0.7],0.7
7,Y2BB_extracted_dataset/train_for_test_medium/15+1n_jnfJVPzs+00+0012000+1.jpg,"[{'x1': 160, 'x2': 464, 'y1': 288, 'y2': 368, 'class': 'train', 'prob': 0.68005824}]","[{'class': 'train', 'x1': 166.4, 'x2': 258.56, 'y1': 137.59999200000001, 'y2': 208.8, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]}","{'train': [0, 0, 0.96652204, 0.8452477, 0.78792095, 0, 0, 0, 0, 0, 0.68005824, 0, 0.8697029, 0, 0.85379493, 0, 0, 0, 0.8220701, 0, 0.9790379, 0.9156864, 0.88048744, 0.7102306, 0.6784745, 0.6232424, 0.6030737, 0, 0.8054901, 0.76437163, 0.6142716, 0, 0.512459, 0]}",0.36608532057660503,[0.6666666666666666],0.6666666666666666
8,Y2BB_extracted_dataset/train_for_test_medium/15+1n_jnfJVPzs+00+0013000+1.jpg,"[{'x1': 224, 'x2': 464, 'y1': 256, 'y2': 368, 'class': 'train', 'prob': 0.8697029}]","[{'class': 'train', 'x1': 143.35999999999999, 'x2': 239.68000000000004, 'y1': 138.799992, 'y2': 210.4000008, 'bbox_matched': True}]",0.75,"{'train': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]}","{'train': [0, 0, 0.96652204, 0.8452477, 0.78792095, 0, 0, 0, 0, 0, 0.68005824, 0, 0.8697029, 0, 0.85379493, 0, 0, 0, 0.8220701, 0, 0.9790379, 0.9156864, 0.88048744, 0.7102306, 0.6784745, 0.6232424, 0.6030737, 0, 0.8054901, 0.76437163, 0.6142716, 0, 0.512459, 0]}",0.615446597365984,[0.6709401709401709],0.6709401709401709
9,Y2BB_extracted_dataset/train_for_test_medium/15+1tIKB6FZ5bY+00+0059000+1.jpg,[],"[{'class': 'train', 'x1': 202.56000000000003, 'x2': 255.83999999999997, 'y1': 120.00000239999999, 'y2': 198.600012, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]}","{'train': [0, 0, 0.96652204, 0.8452477, 0.78792095, 0, 0, 0, 0, 0, 0.68005824, 0, 0.8697029, 0, 0.85379493, 0, 0, 0, 0.8220701, 0, 0.9790379, 0.9156864, 0.88048744, 0.7102306, 0.6784745, 0.6232424, 0.6030737, 0, 0.8054901, 0.76437163, 0.6142716, 0, 0.512459, 0]}",0,[0.692857142857143],0.692857142857143
