,ImageID,predict_bbox,gt_bbox,IoU_threshold,T,P,IoU,ap,mAP
0,COCO_extracted_dataset/medium_airplane_for_test/COCO_val2014_000000564061.jpg,"[{'x1': 16, 'x2': 624, 'y1': 192, 'y2': 400, 'class': 'airplane', 'prob': 0.65440977}]","[{'class': 'airplane', 'x1': 318.99, 'x2': 384.22, 'y1': 24.22, 'y2': 40.67, 'bbox_matched': False}]",0.75,"{'airplane': [0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]}","{'airplane': [0.65440977, 0, 0, 0, 0, 0.70148593, 0.5351636, 0, 0, 0, 0.72097087, 0.5643304, 0.56366503, 0.5628387, 0, 0, 0, 0, 0, 0, 0.5416335, 0, 0, 0.94581497, 0.8201877, 0.80278945, 0, 0, 0, 0.6338775, 0, 0, 0.5608061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7301282, 0.68515754, 0, 0, 0.6589323, 0.5270954, 0.500214, 0, 0, 0, 0.6104536, 0, 0.7446875, 0.7148052, 0.5093882, 0, 0, 0, 0.50980663, 0.7332851, 0.6206275, 0]}",0.0,[0.5],0.5
1,COCO_extracted_dataset/medium_airplane_for_test/COCO_val2014_000000285607.jpg,[],"[{'class': 'airplane', 'x1': 162.51, 'x2': 198.93, 'y1': 243.82, 'y2': 275.37, 'bbox_matched': False}]",0.75,"{'airplane': [0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]}","{'airplane': [0.65440977, 0, 0, 0, 0, 0.70148593, 0.5351636, 0, 0, 0, 0.72097087, 0.5643304, 0.56366503, 0.5628387, 0, 0, 0, 0, 0, 0, 0.5416335, 0, 0, 0.94581497, 0.8201877, 0.80278945, 0, 0, 0, 0.6338775, 0, 0, 0.5608061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7301282, 0.68515754, 0, 0, 0.6589323, 0.5270954, 0.500214, 0, 0, 0, 0.6104536, 0, 0.7446875, 0.7148052, 0.5093882, 0, 0, 0, 0.50980663, 0.7332851, 0.6206275, 0]}",0.0,[0.6666666666666666],0.6666666666666666
2,COCO_extracted_dataset/medium_airplane_for_test/COCO_val2014_000000136218.jpg,[],"[{'class': 'airplane', 'x1': 329.36, 'x2': 387.79, 'y1': 325.26, 'y2': 345.39, 'bbox_matched': False}]",0.75,"{'airplane': [0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]}","{'airplane': [0.65440977, 0, 0, 0, 0, 0.70148593, 0.5351636, 0, 0, 0, 0.72097087, 0.5643304, 0.56366503, 0.5628387, 0, 0, 0, 0, 0, 0, 0.5416335, 0, 0, 0.94581497, 0.8201877, 0.80278945, 0, 0, 0, 0.6338775, 0, 0, 0.5608061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7301282, 0.68515754, 0, 0, 0.6589323, 0.5270954, 0.500214, 0, 0, 0, 0.6104536, 0, 0.7446875, 0.7148052, 0.5093882, 0, 0, 0, 0.50980663, 0.7332851, 0.6206275, 0]}",0.0,[0.75],0.75
3,COCO_extracted_dataset/medium_airplane_for_test/COCO_val2014_000000101787.jpg,[],"[{'class': 'airplane', 'x1': 182.12, 'x2': 221.59, 'y1': 281.4, 'y2': 314.71, 'bbox_matched': False}]",0.75,"{'airplane': [0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]}","{'airplane': [0.65440977, 0, 0, 0, 0, 0.70148593, 0.5351636, 0, 0, 0, 0.72097087, 0.5643304, 0.56366503, 0.5628387, 0, 0, 0, 0, 0, 0, 0.5416335, 0, 0, 0.94581497, 0.8201877, 0.80278945, 0, 0, 0, 0.6338775, 0, 0, 0.5608061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7301282, 0.68515754, 0, 0, 0.6589323, 0.5270954, 0.500214, 0, 0, 0, 0.6104536, 0, 0.7446875, 0.7148052, 0.5093882, 0, 0, 0, 0.50980663, 0.7332851, 0.6206275, 0]}",0.0,[0.8],0.8
4,COCO_extracted_dataset/medium_airplane_for_test/COCO_val2014_000000201899.jpg,"[{'x1': 16, 'x2': 464, 'y1': 16, 'y2': 464, 'class': 'airplane', 'prob': 0.70148593}, {'x1': 48, 'x2': 416, 'y1': -64, 'y2': 464, 'class': 'airplane', 'prob': 0.5351636}]","[{'class': 'airplane', 'x1': 8.73, 'x2': 68.15, 'y1': 97.47, 'y2': 120.36, 'bbox_matched': False}]",0.75,"{'airplane': [0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]}","{'airplane': [0.65440977, 0, 0, 0, 0, 0.70148593, 0.5351636, 0, 0, 0, 0.72097087, 0.5643304, 0.56366503, 0.5628387, 0, 0, 0, 0, 0, 0, 0.5416335, 0, 0, 0.94581497, 0.8201877, 0.80278945, 0, 0, 0, 0.6338775, 0, 0, 0.5608061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7301282, 0.68515754, 0, 0, 0.6589323, 0.5270954, 0.500214, 0, 0, 0, 0.6104536, 0, 0.7446875, 0.7148052, 0.5093882, 0, 0, 0, 0.50980663, 0.7332851, 0.6206275, 0]}",0.007689970254752557,[0.625],0.625
5,COCO_extracted_dataset/medium_airplane_for_test/COCO_val2014_000000028157.jpg,[],"[{'class': 'airplane', 'x1': 213.18, 'x2': 257.86, 'y1': 142.7, 'y2': 175.76, 'bbox_matched': False}]",0.75,"{'airplane': [0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]}","{'airplane': [0.65440977, 0, 0, 0, 0, 0.70148593, 0.5351636, 0, 0, 0, 0.72097087, 0.5643304, 0.56366503, 0.5628387, 0, 0, 0, 0, 0, 0, 0.5416335, 0, 0, 0.94581497, 0.8201877, 0.80278945, 0, 0, 0, 0.6338775, 0, 0, 0.5608061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7301282, 0.68515754, 0, 0, 0.6589323, 0.5270954, 0.500214, 0, 0, 0, 0.6104536, 0, 0.7446875, 0.7148052, 0.5093882, 0, 0, 0, 0.50980663, 0.7332851, 0.6206275, 0]}",0.0,[0.6666666666666666],0.6666666666666666
6,COCO_extracted_dataset/medium_airplane_for_test/COCO_val2014_000000515422.jpg,[],"[{'class': 'airplane', 'x1': 374.39, 'x2': 440.11, 'y1': 247.46, 'y2': 270.44, 'bbox_matched': False}]",0.75,"{'airplane': [0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]}","{'airplane': [0.65440977, 0, 0, 0, 0, 0.70148593, 0.5351636, 0, 0, 0, 0.72097087, 0.5643304, 0.56366503, 0.5628387, 0, 0, 0, 0, 0, 0, 0.5416335, 0, 0, 0.94581497, 0.8201877, 0.80278945, 0, 0, 0, 0.6338775, 0, 0, 0.5608061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7301282, 0.68515754, 0, 0, 0.6589323, 0.5270954, 0.500214, 0, 0, 0, 0.6104536, 0, 0.7446875, 0.7148052, 0.5093882, 0, 0, 0, 0.50980663, 0.7332851, 0.6206275, 0]}",0.0,[0.7],0.7
7,COCO_extracted_dataset/medium_airplane_for_test/COCO_val2014_000000011156.jpg,"[{'x1': 64, 'x2': 592, 'y1': 16, 'y2': 416, 'class': 'airplane', 'prob': 0.72097087}, {'x1': 16, 'x2': 560, 'y1': 0, 'y2': 256, 'class': 'airplane', 'prob': 0.5643304}, {'x1': 16, 'x2': 560, 'y1': -16, 'y2': 368, 'class': 'airplane', 'prob': 0.56366503}, {'x1': 32, 'x2': 576, 'y1': 0, 'y2': 160, 'class': 'airplane', 'prob': 0.5628387}]","[{'class': 'airplane', 'x1': 276.65, 'x2': 320.88, 'y1': 137.93, 'y2': 172.15, 'bbox_matched': False}]",0.75,"{'airplane': [0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]}","{'airplane': [0.65440977, 0, 0, 0, 0, 0.70148593, 0.5351636, 0, 0, 0, 0.72097087, 0.5643304, 0.56366503, 0.5628387, 0, 0, 0, 0, 0, 0, 0.5416335, 0, 0, 0.94581497, 0.8201877, 0.80278945, 0, 0, 0, 0.6338775, 0, 0, 0.5608061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7301282, 0.68515754, 0, 0, 0.6589323, 0.5270954, 0.500214, 0, 0, 0, 0.6104536, 0, 0.7446875, 0.7148052, 0.5093882, 0, 0, 0, 0.50980663, 0.7332851, 0.6206275, 0]}",0.034940828973224966,[0.5333333333333333],0.5333333333333333
8,COCO_extracted_dataset/medium_airplane_for_test/COCO_val2014_000000253223.jpg,[],"[{'class': 'airplane', 'x1': 83.76, 'x2': 134.24, 'y1': 177.67, 'y2': 208.06, 'bbox_matched': False}]",0.75,"{'airplane': [0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]}","{'airplane': [0.65440977, 0, 0, 0, 0, 0.70148593, 0.5351636, 0, 0, 0, 0.72097087, 0.5643304, 0.56366503, 0.5628387, 0, 0, 0, 0, 0, 0, 0.5416335, 0, 0, 0.94581497, 0.8201877, 0.80278945, 0, 0, 0, 0.6338775, 0, 0, 0.5608061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7301282, 0.68515754, 0, 0, 0.6589323, 0.5270954, 0.500214, 0, 0, 0, 0.6104536, 0, 0.7446875, 0.7148052, 0.5093882, 0, 0, 0, 0.50980663, 0.7332851, 0.6206275, 0]}",0.0,[0.5625],0.5625
9,COCO_extracted_dataset/medium_airplane_for_test/COCO_val2014_000000134042.jpg,[],"[{'class': 'airplane', 'x1': 291.86, 'x2': 336.07, 'y1': 180.55, 'y2': 216.85, 'bbox_matched': False}]",0.75,"{'airplane': [0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]}","{'airplane': [0.65440977, 0, 0, 0, 0, 0.70148593, 0.5351636, 0, 0, 0, 0.72097087, 0.5643304, 0.56366503, 0.5628387, 0, 0, 0, 0, 0, 0, 0.5416335, 0, 0, 0.94581497, 0.8201877, 0.80278945, 0, 0, 0, 0.6338775, 0, 0, 0.5608061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7301282, 0.68515754, 0, 0, 0.6589323, 0.5270954, 0.500214, 0, 0, 0, 0.6104536, 0, 0.7446875, 0.7148052, 0.5093882, 0, 0, 0, 0.50980663, 0.7332851, 0.6206275, 0]}",0.0,[0.5882352941176471],0.5882352941176471
