,ImageID,predict_bbox,gt_bbox,IoU_threshold,T,P,IoU,ap,mAP
0,COCO_extracted_dataset/small_airplane_for_test/COCO_val2014_000000138755.jpg,[],"[{'class': 'airplane', 'x1': 352.77, 'x2': 366.94, 'y1': 228.71, 'y2': 232.36, 'bbox_matched': False}]",0.75,"{'airplane': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'airplane': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0,[1.0],1.0
1,COCO_extracted_dataset/small_airplane_for_test/COCO_val2014_000000339022.jpg,[],"[{'class': 'airplane', 'x1': 188.4, 'x2': 202.39, 'y1': 16.65, 'y2': 21.08, 'bbox_matched': False}]",0.75,"{'airplane': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'airplane': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0,[1.0],1.0
2,COCO_extracted_dataset/small_airplane_for_test/COCO_val2014_000000232455.jpg,[],"[{'class': 'airplane', 'x1': 422.67, 'x2': 444.58, 'y1': 108.7, 'y2': 118.57, 'bbox_matched': False}]",0.75,"{'airplane': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'airplane': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0,[1.0],1.0
3,COCO_extracted_dataset/small_airplane_for_test/COCO_val2014_000000345329.jpg,[],"[{'class': 'airplane', 'x1': 471.77, 'x2': 503.99, 'y1': 226.32, 'y2': 236.31, 'bbox_matched': False}]",0.75,"{'airplane': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'airplane': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0,[1.0],1.0
4,COCO_extracted_dataset/small_airplane_for_test/COCO_val2014_000000111830.jpg,[],"[{'class': 'airplane', 'x1': 327.17, 'x2': 363.33, 'y1': 229.91, 'y2': 239.26, 'bbox_matched': False}]",0.75,"{'airplane': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'airplane': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0,[1.0],1.0
5,COCO_extracted_dataset/small_airplane_for_test/COCO_val2014_000000400922.jpg,[],"[{'class': 'airplane', 'x1': 379.75, 'x2': 407.25, 'y1': 124.3, 'y2': 139.13, 'bbox_matched': False}]",0.75,"{'airplane': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'airplane': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0,[1.0],1.0
6,COCO_extracted_dataset/small_airplane_for_test/COCO_val2014_000000062685.jpg,[],"[{'class': 'airplane', 'x1': 553.78, 'x2': 585.01, 'y1': 82.28, 'y2': 96.29, 'bbox_matched': False}]",0.75,"{'airplane': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'airplane': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0,[1.0],1.0
7,COCO_extracted_dataset/small_airplane_for_test/COCO_val2014_000000233090.jpg,[],"[{'class': 'airplane', 'x1': 207.4, 'x2': 241.82, 'y1': 85.26, 'y2': 98.31, 'bbox_matched': False}]",0.75,"{'airplane': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'airplane': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0,[1.0],1.0
8,COCO_extracted_dataset/small_airplane_for_test/COCO_val2014_000000537631.jpg,[],"[{'class': 'airplane', 'x1': 241.01, 'x2': 265.75, 'y1': 15.3, 'y2': 34.31, 'bbox_matched': False}]",0.75,"{'airplane': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'airplane': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0,[1.0],1.0
9,COCO_extracted_dataset/small_airplane_for_test/COCO_val2014_000000474215.jpg,[],"[{'class': 'airplane', 'x1': 243.96, 'x2': 271.79, 'y1': 74.74, 'y2': 92.02, 'bbox_matched': False}]",0.75,"{'airplane': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'airplane': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0,[1.0],1.0
