,ImageID,predict_bbox,gt_bbox,IoU_threshold,T,P,IoU,ap,mAP
0,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000535591.jpg,[],"[{'class': 'train', 'x1': 309.84, 'x2': 342.76, 'y1': 280.15, 'y2': 315.01, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0,[1.0],1.0
1,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000568265.jpg,[],"[{'class': 'train', 'x1': 350.87, 'x2': 435.45, 'y1': 376.11, 'y2': 399.93, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0,[1.0],1.0
2,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000403481.jpg,[],"[{'class': 'train', 'x1': 414.47, 'x2': 462.74, 'y1': 236.1, 'y2': 279.37, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0,[1.0],1.0
3,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000027226.jpg,[],"[{'class': 'train', 'x1': 350.78, 'x2': 394.52, 'y1': 186.5, 'y2': 234.98, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0,[1.0],1.0
4,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000149964.jpg,[],"[{'class': 'train', 'x1': 365.56, 'x2': 389.78, 'y1': 161.25, 'y2': 253.31, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0,[1.0],1.0
5,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000248468.jpg,[],"[{'class': 'train', 'x1': 452.73, 'x2': 500.43, 'y1': 350.62, 'y2': 429.4, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0,[1.0],1.0
6,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000338220.jpg,[],"[{'class': 'train', 'x1': 248.09, 'x2': 305.26, 'y1': 201.71, 'y2': 268.58, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0,[1.0],1.0
7,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000436722.jpg,"[{'x1': 48, 'x2': 416, 'y1': -160, 'y2': 608, 'class': 'train', 'prob': 0.7784641}, {'x1': 48, 'x2': 496, 'y1': -128, 'y2': 528, 'class': 'train', 'prob': 0.68906564}, {'x1': 64, 'x2': 480, 'y1': 64, 'y2': 560, 'class': 'train', 'prob': 0.67392135}]","[{'class': 'train', 'x1': 282.67, 'x2': 333.8, 'y1': 292.6, 'y2': 418.22, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0.0926430564485807,[0.7272727272727273],0.7272727272727273
8,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000018771.jpg,[],"[{'class': 'train', 'x1': 188.58, 'x2': 490.15, 'y1': 152.66, 'y2': 175.85, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0,[0.75],0.75
9,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000124621.jpg,[],"[{'class': 'train', 'x1': 194.16, 'x2': 281.89, 'y1': 251.69, 'y2': 349.48, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0,[0.7692307692307693],0.7692307692307693
10,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000314440.jpg,[],"[{'class': 'train', 'x1': 285.54, 'x2': 357.6, 'y1': 278.62, 'y2': 400.03, 'bbox_matched': False}]",0.75,"{'train': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0, 0, 0, 0, 0, 0, 0, 0.7784641, 0.68906564, 0.67392135, 0, 0, 0, 0]}",0,[0.7857142857142857],0.7857142857142857
