,ImageID,predict_bbox,gt_bbox,IoU_threshold,T,P,IoU,ap,mAP
0,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000535591.jpg,"[{'x1': 32, 'x2': 528, 'y1': 32, 'y2': 304, 'class': 'train', 'prob': 0.8742434}, {'x1': -16, 'x2': 544, 'y1': 16, 'y2': 352, 'class': 'train', 'prob': 0.8713609}, {'x1': 80, 'x2': 480, 'y1': 16, 'y2': 384, 'class': 'train', 'prob': 0.79905295}, {'x1': 64, 'x2': 608, 'y1': 64, 'y2': 288, 'class': 'train', 'prob': 0.6758013}, {'x1': 32, 'x2': 608, 'y1': 48, 'y2': 368, 'class': 'train', 'prob': 0.5849163}, {'x1': 48, 'x2': 416, 'y1': 32, 'y2': 336, 'class': 'train', 'prob': 0.5000216}]","[{'class': 'train', 'x1': 309.84, 'x2': 342.76, 'y1': 280.15, 'y2': 315.01, 'bbox_matched': False}]",0.75,"{'train': [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0.8742434, 0.8713609, 0.79905295, 0.6758013, 0.5849163, 0.5000216, 0, 0, 0, 0.70946443, 0, 0, 0, 0, 0.97625864, 0.89793766, 0.844849, 0.7953985, 0.67498565, 0.5653163, 0.5180712, 0, 0, 0, 0]}",0.04012749651920924,[0.14285714285714285],0.14285714285714285
1,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000568265.jpg,[],"[{'class': 'train', 'x1': 350.87, 'x2': 435.45, 'y1': 376.11, 'y2': 399.93, 'bbox_matched': False}]",0.75,"{'train': [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0.8742434, 0.8713609, 0.79905295, 0.6758013, 0.5849163, 0.5000216, 0, 0, 0, 0.70946443, 0, 0, 0, 0, 0.97625864, 0.89793766, 0.844849, 0.7953985, 0.67498565, 0.5653163, 0.5180712, 0, 0, 0, 0]}",0.0,[0.25],0.25
2,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000403481.jpg,[],"[{'class': 'train', 'x1': 414.47, 'x2': 462.74, 'y1': 236.1, 'y2': 279.37, 'bbox_matched': False}]",0.75,"{'train': [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0.8742434, 0.8713609, 0.79905295, 0.6758013, 0.5849163, 0.5000216, 0, 0, 0, 0.70946443, 0, 0, 0, 0, 0.97625864, 0.89793766, 0.844849, 0.7953985, 0.67498565, 0.5653163, 0.5180712, 0, 0, 0, 0]}",0.0,[0.3333333333333333],0.3333333333333333
3,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000027226.jpg,"[{'x1': 160, 'x2': 304, 'y1': 128, 'y2': 272, 'class': 'train', 'prob': 0.70946443}]","[{'class': 'train', 'x1': 350.78, 'x2': 394.52, 'y1': 186.5, 'y2': 234.98, 'bbox_matched': False}]",0.75,"{'train': [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0.8742434, 0.8713609, 0.79905295, 0.6758013, 0.5849163, 0.5000216, 0, 0, 0, 0.70946443, 0, 0, 0, 0, 0.97625864, 0.89793766, 0.844849, 0.7953985, 0.67498565, 0.5653163, 0.5180712, 0, 0, 0, 0]}",0.0,[0.36363636363636365],0.36363636363636365
4,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000149964.jpg,[],"[{'class': 'train', 'x1': 365.56, 'x2': 389.78, 'y1': 161.25, 'y2': 253.31, 'bbox_matched': False}]",0.75,"{'train': [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0.8742434, 0.8713609, 0.79905295, 0.6758013, 0.5849163, 0.5000216, 0, 0, 0, 0.70946443, 0, 0, 0, 0, 0.97625864, 0.89793766, 0.844849, 0.7953985, 0.67498565, 0.5653163, 0.5180712, 0, 0, 0, 0]}",0.0,[0.4166666666666667],0.4166666666666667
5,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000248468.jpg,[],"[{'class': 'train', 'x1': 452.73, 'x2': 500.43, 'y1': 350.62, 'y2': 429.4, 'bbox_matched': False}]",0.75,"{'train': [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0.8742434, 0.8713609, 0.79905295, 0.6758013, 0.5849163, 0.5000216, 0, 0, 0, 0.70946443, 0, 0, 0, 0, 0.97625864, 0.89793766, 0.844849, 0.7953985, 0.67498565, 0.5653163, 0.5180712, 0, 0, 0, 0]}",0.0,[0.46153846153846156],0.46153846153846156
6,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000338220.jpg,[],"[{'class': 'train', 'x1': 248.09, 'x2': 305.26, 'y1': 201.71, 'y2': 268.58, 'bbox_matched': False}]",0.75,"{'train': [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0.8742434, 0.8713609, 0.79905295, 0.6758013, 0.5849163, 0.5000216, 0, 0, 0, 0.70946443, 0, 0, 0, 0, 0.97625864, 0.89793766, 0.844849, 0.7953985, 0.67498565, 0.5653163, 0.5180712, 0, 0, 0, 0]}",0.0,[0.5],0.5
7,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000436722.jpg,"[{'x1': 64, 'x2': 448, 'y1': -176, 'y2': 592, 'class': 'train', 'prob': 0.97625864}, {'x1': 16, 'x2': 464, 'y1': -96, 'y2': 448, 'class': 'train', 'prob': 0.89793766}, {'x1': 0, 'x2': 592, 'y1': -64, 'y2': 352, 'class': 'train', 'prob': 0.844849}, {'x1': 32, 'x2': 432, 'y1': -64, 'y2': 528, 'class': 'train', 'prob': 0.7953985}, {'x1': 48, 'x2': 416, 'y1': 80, 'y2': 496, 'class': 'train', 'prob': 0.67498565}, {'x1': -32, 'x2': 464, 'y1': -64, 'y2': 352, 'class': 'train', 'prob': 0.5653163}, {'x1': 32, 'x2': 528, 'y1': 16, 'y2': 368, 'class': 'train', 'prob': 0.5180712}]","[{'class': 'train', 'x1': 282.67, 'x2': 333.8, 'y1': 292.6, 'y2': 418.22, 'bbox_matched': False}]",0.75,"{'train': [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0.8742434, 0.8713609, 0.79905295, 0.6758013, 0.5849163, 0.5000216, 0, 0, 0, 0.70946443, 0, 0, 0, 0, 0.97625864, 0.89793766, 0.844849, 0.7953985, 0.67498565, 0.5653163, 0.5180712, 0, 0, 0, 0]}",0.1678199367315128,[0.36363636363636365],0.36363636363636365
8,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000018771.jpg,[],"[{'class': 'train', 'x1': 188.58, 'x2': 490.15, 'y1': 152.66, 'y2': 175.85, 'bbox_matched': False}]",0.75,"{'train': [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0.8742434, 0.8713609, 0.79905295, 0.6758013, 0.5849163, 0.5000216, 0, 0, 0, 0.70946443, 0, 0, 0, 0, 0.97625864, 0.89793766, 0.844849, 0.7953985, 0.67498565, 0.5653163, 0.5180712, 0, 0, 0, 0]}",0.0,[0.391304347826087],0.391304347826087
9,COCO_extracted_dataset/medium_train_for_test/COCO_val2014_000000124621.jpg,[],"[{'class': 'train', 'x1': 194.16, 'x2': 281.89, 'y1': 251.69, 'y2': 349.48, 'bbox_matched': False}]",0.75,"{'train': [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}","{'train': [0.8742434, 0.8713609, 0.79905295, 0.6758013, 0.5849163, 0.5000216, 0, 0, 0, 0.70946443, 0, 0, 0, 0, 0.97625864, 0.89793766, 0.844849, 0.7953985, 0.67498565, 0.5653163, 0.5180712, 0, 0, 0, 0]}",0.0,[0.4166666666666667],0.4166666666666667
