,Class,ImageId,Probability,Xmax,Xmin,Ymax,Ymin
0,train,15+-025GNtJ0oI+02+0085000+1.jpg,80.60185313224792,498.0,-28.0,360.0,-28.0
1,train,15+-6dnETcotmM+00+0006000+1.jpg,89.31043148040771,387.0,0.0,387.0,-28.0
2,train,15+-9Kf0njIktU+00+0015000+1.jpg,98.6912488937378,360.0,0.0,332.0,13.0
3,train,15+-GtEg4GW2w4+00+0012000+1.jpg,97.95241951942444,484.0,0.0,235.0,41.0
4,train,15+-Hu90Xaf8Co+00+0277000+1.jpg,92.86710023880005,378.0,55.0,230.0,-19.0
5,train,15+-Hu90Xaf8Co+00+0285000+1.jpg,92.01061725616455,295.0,-10.0,230.0,-19.0
6,train,15+-JE6qT-Pab8+00+0023000+1.jpg,88.83134126663208,401.0,0.0,318.0,-84.0
7,train,15+-KHjb74Z5MY+02+0099000+1.jpg,78.72529029846191,207.0,-14.0,360.0,0.0
8,train,15+-MN3QfQfVX8+02+0196000+1.jpg,92.69143342971802,1163.0,27.0,720.0,110.0
9,train,15+-OWH8fctiA8+00+0011000+1.jpg,97.53708839416504,350.0,-19.0,258.0,-28.0
10,train,15+-SF0gwJVlKk+02+0189000+1.jpg,87.75691390037537,498.0,55.0,387.0,-14.0
11,train,15+-SivrdE-gMM+01+0059000+1.jpg,91.48577451705933,341.0,9.0,166.0,18.0
12,train,15+-ZcY7wUzysg+01+0054000+1.jpg,93.5987651348114,470.0,27.0,346.0,-70.0
13,train,15+-bOySjRdVIw+01+0276000+1.jpg,78.02240252494812,332.0,0.0,181.0,80.0
14,train,15+-bOySjRdVIw+01+0279000+1.jpg,85.42118668556213,302.0,-21.0,181.0,80.0
15,train,15+-bOySjRdVIw+02+0319000+1.jpg,93.65949630737305,372.0,-11.0,241.0,20.0
16,train,15+-bOySjRdVIw+03+0076000+1.jpg,81.72319531440735,322.0,20.0,211.0,-21.0
17,train,15+-gWuXN733tE+00+0110000+1.jpg,78.42188477516174,204.0,0.0,127.0,-34.0
18,train,15+-gWuXN733tE+00+0121000+1.jpg,95.78355550765991,221.0,0.0,144.0,-12.0
19,train,15+-hlx_FW6Sk0+00+0017000+1.jpg,94.26858425140381,456.0,83.0,373.0,27.0
20,train,15+-m6OhoJ4Q48+01+0030000+1.jpg,98.57829809188843,512.0,-14.0,360.0,-28.0
21,train,15+-nnAdGpBxqk+00+0002000+1.jpg,98.708575963974,341.0,9.0,258.0,-10.0
22,train,15+-qFmb_KkqXg+00+0051000+1.jpg,92.97525882720947,582.0,-28.0,297.0,-41.0
23,train,15+-qKRneQWwtg+00+0013000+1.jpg,97.28326201438904,456.0,27.0,401.0,-56.0
24,train,15+-sX1J_IwZrk+01+0101000+1.jpg,84.67357754707336,429.0,0.0,221.0,13.0
25,train,15+-t1yQ1H51Lo+00+0059000+1.jpg,88.89548182487488,323.0,18.0,193.0,46.0
26,train,15+-xPpjdYcU0Q+00+0059000+1.jpg,94.27133798599243,387.0,-19.0,258.0,-47.0
27,train,15+-yKRVlWlbPc+00+0014000+1.jpg,87.87974119186401,401.0,96.0,276.0,83.0
28,train,15+-yMI3k70zIU+01+0060000+1.jpg,91.3933515548706,498.0,-28.0,346.0,-28.0
29,train,15+-yMI3k70zIU+01+0062000+1.jpg,96.14580273628235,498.0,-42.0,360.0,-56.0
30,train,15+-yMI3k70zIU+02+0102000+1.jpg,91.1865770816803,540.0,41.0,276.0,0.0
31,train,15+-zrRVj9puac+00+0353000+1.jpg,86.23906970024109,332.0,27.0,212.0,-19.0
32,train,15+003f2isklHU+00+0004000+1.jpg,98.44347834587097,1052.0,27.0,692.0,-56.0
33,train,15+003f2isklHU+00+0004000+1.jpg,84.83028411865234,1107.0,387.0,609.0,27.0
34,train,15+003f2isklHU+01+0046000+1.jpg,90.60434699058533,1218.0,27.0,664.0,27.0
35,train,15+003f2isklHU+01+0046000+1.jpg,87.75089383125305,1190.0,276.0,470.0,110.0
36,train,15+00iw45dQOBA+01+0042000+1.jpg,88.02193403244019,350.0,55.0,249.0,-10.0
37,train,15+04ZKB63bfSg+00+0010000+1.jpg,87.54774928092957,636.0,290.0,332.0,69.0
38,train,15+04dRfD-8ThE+00+0054000+1.jpg,86.71010732650757,491.0,136.0,261.0,62.0
39,train,15+06zKJASmKOU+01+0052000+1.jpg,97.1356749534607,378.0,55.0,239.0,-28.0
40,train,15+06zKJASmKOU+01+0059000+1.jpg,90.9288763999939,350.0,64.0,230.0,-19.0
41,train,15+07DiN3UALd0+00+0007000+1.jpg,93.86995434761047,470.0,-56.0,401.0,-42.0
42,train,15+07yqmNxwcYQ+02+0104000+1.jpg,96.24059200286865,540.0,27.0,318.0,-28.0
43,train,15+081HkwJAjTc+00+0030000+1.jpg,85.8746349811554,629.0,150.0,314.0,54.0
44,train,15+090ZBmfuv9U+00+0325000+1.jpg,97.07673192024231,350.0,9.0,249.0,-37.0
45,train,15+0Bj1eVHttgE+00+0040000+1.jpg,94.62785720825195,401.0,96.0,360.0,96.0
46,train,15+0NYR5g-Vf9I+00+0048000+1.jpg,97.0872700214386,941.0,-28.0,830.0,-56.0
47,train,15+0NYR5g-Vf9I+00+0049000+1.jpg,95.20382285118103,886.0,0.0,803.0,-84.0
48,train,15+0POyH7D2a_U+01+0053000+1.jpg,88.43682408332825,1273.0,193.0,609.0,276.0
49,train,15+0SJj_mTwfvo+00+0061000+1.jpg,85.13050079345703,387.0,27.0,193.0,-10.0
50,train,15+0SkIi3YGKPI+00+0046000+1.jpg,92.17903017997742,470.0,138.0,346.0,27.0
51,train,15+0SkIi3YGKPI+01+0069000+1.jpg,97.06138968467712,484.0,13.0,387.0,-56.0
52,train,15+0SkIi3YGKPI+01+0069000+1.jpg,81.59142136573792,484.0,249.0,387.0,-28.0
53,train,15+0WJ6_RNtHgg+00+0018000+1.jpg,94.51029300689697,210.0,38.0,144.0,-23.0
